石头ID,长度x,长度y,长度z,长度max,点数,体积
0,0.1069636344909668,0.16638946533203125,0.1480865478515625,0.22977706511027485,82,0.012170720543312955
1,0.026973247528076172,0.162078857421875,0.08759307861328125,0.16413373010255583,46,0.0016074693732705853
2,0.023181438446044922,0.07924652099609375,0.07353973388671875,0.0853678284377164,20,0.004183620527094387
3,0.09263801574707031,0.23993682861328125,0.1877899169921875,0.2745543059064346,136,0.007815987824569461
4,0.036104679107666016,0.07920074462890625,0.08477020263671875,0.11156709011469168,25,0.0018562758597496266
5,0.047373294830322266,0.11058807373046875,0.08664703369140625,0.14457524994491955,32,0.0049935192734982805
6,0.04551410675048828,0.1136627197265625,0.12990570068359375,0.14362341472514117,37,0.001429636588311706
7,0.061371803283691406,0.2071990966796875,0.22226715087890625,0.3333008489315734,115,0.014151476062387402
8,0.055977821350097656,0.06958770751953125,0.0670928955078125,0.10070441887857129,22,0.00047842687155625783
9,0.10641908645629883,0.195709228515625,0.285308837890625,0.2973745714267597,158,0.0434535540447088
10,0.021867752075195312,0.04959869384765625,0.081878662109375,0.09189604047356248,20,0.0016585738985816962
11,0.02878713607788086,0.051300048828125,0.09828948974609375,0.1098683144917505,24,0.00272205259713015
12,0.15619707107543945,0.6881637573242188,0.36383056640625,0.7429752201889119,501,0.19717391016990476
13,0.04488182067871094,0.10414886474609375,0.07861328125,0.1290920232042989,36,0.006970397874844757
14,0.4003920555114746,1.0584335327148438,0.8034896850585938,1.2671357177647837,1849,0.022587902149889687
15,0.04406595230102539,0.09889984130859375,0.130218505859375,0.15806438740514128,41,0.006760557432127795
16,0.0330657958984375,0.07151031494140625,0.08600616455078125,0.11824837520371823,24,0.00769801194160666
17,0.04977226257324219,0.07178497314453125,0.05521392822265625,0.08541044492375782,21,0.0018919202102544916
18,0.07863521575927734,0.131072998046875,0.2335052490234375,0.26722940028586883,109,0.003259607787884063
19,0.030460357666015625,0.04941558837890625,0.08196258544921875,0.09497861803422314,20,0.004042705833911791
20,0.04408979415893555,0.13948822021484375,0.0840301513671875,0.15736605927013092,40,0.010411866527560758
21,0.036875247955322266,0.08716583251953125,0.07634735107421875,0.10289790129255483,29,0.006984969794011539
22,0.08771705627441406,0.1512298583984375,0.1331329345703125,0.22130093149267704,67,0.0017641847907951384
23,0.09491109848022461,0.3411102294921875,0.269378662109375,0.3714630203161047,212,0.07310514301606925
24,0.07328987121582031,0.235809326171875,0.27197265625,0.3464739768305458,128,0.014115055113794392
25,0.07084894180297852,0.089141845703125,0.1085052490234375,0.11506904027577214,43,0.0026794350792828593
26,0.031177997589111328,0.04442596435546875,0.07730865478515625,0.0929698156432508,15,0.0002672069481989884
27,0.12697458267211914,0.3125,0.16103363037109375,0.35918010088015695,164,0.02893515031900387
28,0.03790616989135742,0.03192138671875,0.08050537109375,0.08968084920677555,19,0.002355742465852582
29,0.031668663024902344,0.05121612548828125,0.08368682861328125,0.09068127699536532,20,0.0018725119285347553
30,0.08581256866455078,0.200927734375,0.24840545654296875,0.3301745750522249,113,0.03509571838485388
31,0.055880069732666016,0.13573455810546875,0.0766448974609375,0.14217613988641187,41,0.0046746098993045975
32,0.028114795684814453,0.1258544921875,0.07485198974609375,0.12678096120008542,41,0.00880921308322421
33,0.04644012451171875,0.1044921875,0.08606719970703125,0.13363829365143665,29,7.145007818066596e-05
34,0.07639408111572266,0.23096466064453125,0.25249481201171875,0.3659781904620729,158,0.010330951205277127
35,0.029639244079589844,0.098480224609375,0.087310791015625,0.1028231607892316,25,0.003770158906739954
36,0.03304624557495117,0.0785980224609375,0.0850830078125,0.09182469099703106,21,0.0003204979521474145
37,0.12328577041625977,0.22225189208984375,0.2441558837890625,0.34501019500089214,161,0.008819442947237984
38,0.040488243103027344,0.0504302978515625,0.06778717041015625,0.08571312201407189,20,0.0003712103784888419
39,0.051827430725097656,0.204376220703125,0.15350341796875,0.23944038289650926,91,0.01564128537015178
40,0.0771331787109375,0.1409454345703125,0.08526611328125,0.15767238017981877,45,0.003051675787564658
41,0.15445756912231445,0.259796142578125,0.35454559326171875,0.4767981239263124,250,0.0017770046182954847
42,0.10078811645507812,0.27169036865234375,0.20258331298828125,0.3286793224805531,186,0.00131340274646776
43,0.0389251708984375,0.1011199951171875,0.08072662353515625,0.12484310016990818,26,0.0022563824894577156
44,0.0864410400390625,0.07405853271484375,0.1356353759765625,0.1601697909690678,45,0.004496117693887917
45,0.04669475555419922,0.09102630615234375,0.1084136962890625,0.12421306987776948,35,0.0018014182149687545
46,0.08738374710083008,0.10178375244140625,0.17627716064453125,0.21538862709729223,86,0.008035276468989102
47,0.02525806427001953,0.05341339111328125,0.06948089599609375,0.08919943401855335,18,0.001372931523380497
48,0.07743310928344727,0.07170867919921875,0.16118621826171875,0.179002899556143,43,0.009096892029915737
49,0.041262149810791016,0.0828704833984375,0.083465576171875,0.10772185561340919,23,0.0034004292912566975
50,0.04786396026611328,0.06687164306640625,0.1099853515625,0.11983501826522946,31,0.0012221346929243342
51,0.051753997802734375,0.03166961669921875,0.1158905029296875,0.12764149989046292,30,0.0023102192864432147
52,0.035434722900390625,0.05875396728515625,0.09326171875,0.10916163124718103,26,0.0074357888093566065
53,0.028281688690185547,0.02417755126953125,0.10103607177734375,0.10708405478573546,30,0.0003113295966328641
54,0.04364204406738281,0.02762603759765625,0.11475372314453125,0.12197332085104584,31,0.0006694393568026566
55,0.05696725845336914,0.03679656982421875,0.11869049072265625,0.12209026249302646,32,0.00030892691224306787
56,0.05534791946411133,0.0282135009765625,0.08400726318359375,0.09046498209738463,23,9.340319820164532e-05
57,0.0381159782409668,0.01497650146484375,0.07357025146484375,0.08448673560783249,21,0.00010127707372758475
58,0.048783302307128906,0.02973175048828125,0.11110687255859375,0.11765742905980314,29,0.0009605797793921448
59,0.05883359909057617,0.02396392822265625,0.07413482666015625,0.09096551139140185,23,0.0011561378939938909
60,0.043947696685791016,0.138763427734375,0.10814666748046875,0.17308958259652796,49,0.007392207865273223
61,0.04507589340209961,0.0515594482421875,0.14569854736328125,0.16058352117260277,40,0.00395217710498563
62,0.06204414367675781,0.03136444091796875,0.05297088623046875,0.08264754666710061,21,0.0006031761900747646
63,0.04184389114379883,0.0255126953125,0.09032440185546875,0.09556804953585907,24,0.0011346874460425626
64,0.042218685150146484,0.02324676513671875,0.1070404052734375,0.11431585924317655,25,0.0022490790159072514
65,0.08866214752197266,0.27527618408203125,0.21514129638671875,0.31995556428036986,127,0.00440995671651315
66,0.4549560546875,0.397216796875,0.420745849609375,0.5981174117089689,513,0.04071370064818994
67,0.04765796661376953,0.1038055419921875,0.09471893310546875,0.14427330864218524,42,0.0010794198928425697
68,0.09109878540039062,0.24832916259765625,0.15969085693359375,0.29676118327325113,82,0.0031599031715321235
69,0.07702493667602539,0.114776611328125,0.15290069580078125,0.19141822152498023,60,0.005385390747431707
70,0.043663978576660156,0.08541107177734375,0.05185699462890625,0.10144918472939723,24,4.6595790379160636e-05
71,0.03297996520996094,0.07555389404296875,0.06040191650390625,0.08653671214731329,18,0.0010043623163100766
72,0.19586515426635742,0.3956756591796875,0.1663360595703125,0.46153754689146137,179,0.03267074281813359
73,0.03473615646362305,0.13422393798828125,0.12480926513671875,0.1710210183419285,65,0.0030583771217578774
74,0.06019878387451172,0.19788360595703125,0.0839080810546875,0.20187112760370862,60,0.009989763514861371
75,0.06619119644165039,0.0715484619140625,0.12097930908203125,0.14446259581404153,42,0.0012283929235253049
76,0.18366289138793945,0.49114227294921875,0.4647216796875,0.5860546132629074,261,0.027499620833359245
77,0.06233692169189453,0.10854339599609375,0.09938812255859375,0.15154760899507558,43,0.002478413147130304
78,0.16012334823608398,0.10402679443359375,0.11122894287109375,0.18676663530458004,68,0.0006614301276163716
79,0.05253028869628906,0.1716156005859375,0.09832000732421875,0.1981954432291021,54,0.006437361912357427
80,0.057990074157714844,0.17993927001953125,0.08611297607421875,0.2065135842615664,55,0.00019244626949057198
81,0.028744220733642578,0.0889739990234375,0.06870269775390625,0.11293452850274122,26,0.002078281091590476
82,0.03272438049316406,0.10980224609375,0.0628204345703125,0.11696102486588389,30,0.00013035032961306812
83,0.4209270477294922,0.708343505859375,0.53265380859375,0.8308693966865404,1268,0.07922178964761112
84,0.04529905319213867,0.09136962890625,0.069732666015625,0.1084406200201582,28,8.517516135902233e-05
85,0.052256107330322266,0.117828369140625,0.08154296875,0.1352837308939474,38,0.004032202931637698
86,0.06127738952636719,0.112274169921875,0.108917236328125,0.15875327746377543,48,0.004659410442785405
87,0.04793405532836914,0.11269378662109375,0.12189483642578125,0.15990427069207236,47,0.0010425816759117314
88,0.14084815979003906,0.14257049560546875,0.2217864990234375,0.2542689868554957,147,0.007405962889463755
89,0.04278993606567383,0.0327911376953125,0.06778717041015625,0.07167609231013827,20,0.0011489712326440238
90,0.03459501266479492,0.07834625244140625,0.0841522216796875,0.10439603623785487,25,0.0014498146965877495
91,0.06630706787109375,0.11678314208984375,0.14252471923828125,0.2046845908343462,63,0.005831991946415483
92,0.39716219902038574,0.8859405517578125,0.5620346069335938,0.924871691525249,1453,0.2606361127480157
93,0.3572268486022949,0.8991012573242188,0.41603851318359375,0.9747889598892261,1351,0.19432338884926786
94,0.039598941802978516,0.11537933349609375,0.124114990234375,0.16977982707254125,44,0.017184889354200254
95,0.07764482498168945,0.30364990234375,0.2745819091796875,0.39106585849451436,136,0.006367189855085385
96,0.046189308166503906,0.1407928466796875,0.0855712890625,0.15509869933124332,40,0.001752856819596495
97,0.05351734161376953,0.1094512939453125,0.1656646728515625,0.18500895800793415,78,0.008061944911058718
98,0.03530263900756836,0.0838470458984375,0.1026763916015625,0.11914490095961039,32,0.0017355813090415655
99,0.0890350341796875,0.0904541015625,0.11412811279296875,0.14143705626687364,40,0.0036438016358554676
100,0.057102203369140625,0.1063995361328125,0.13948822021484375,0.17764099369197428,45,0.0014876573896313522
101,0.11985015869140625,0.22303009033203125,0.358734130859375,0.42244128828220795,168,0.023131928986599277
102,0.03572988510131836,0.07950592041015625,0.05721282958984375,0.08732146379673011,20,0.0008183342265678157
103,0.052356719970703125,0.07193756103515625,0.0518035888671875,0.10259736679442458,20,0.00019313711587159513
104,0.03877687454223633,0.07411956787109375,0.080322265625,0.1028915114096014,23,0.0019921228597608257
105,0.03759193420410156,0.09807586669921875,0.06711578369140625,0.11352772462447946,35,0.003449385607463622
106,0.1083681583404541,0.1529693603515625,0.1669921875,0.24769934803790594,74,0.032111856273502326
107,0.09508895874023438,0.2298736572265625,0.102752685546875,0.25344387212099345,80,0.0024515533357886347
108,0.06037616729736328,0.121856689453125,0.11954498291015625,0.16327320739183993,49,0.002911775785279136
109,0.041886091232299805,0.02050018310546875,0.046966552734375,0.05489546842950421,6,6.381863796516932e-05
110,0.10224008560180664,0.247314453125,0.1909332275390625,0.30987523022760666,121,0.007457020144587301
111,0.04600095748901367,0.07268524169921875,0.053863525390625,0.08098498593851122,20,0.0013540132576829247
112,0.03737974166870117,0.0865936279296875,0.10478973388671875,0.1417483803589672,35,0.0002482728254176703
113,0.0431208610534668,0.07884979248046875,0.066375732421875,0.08944524800299009,22,0.00038509389733525084
114,0.025435924530029297,0.0699310302734375,0.0877685546875,0.11495924038618188,24,0.0028377931110535872
115,0.0263671875,0.03050994873046875,0.05777740478515625,0.06159139029360183,16,0.00012938305924766152
116,0.23853302001953125,0.7899932861328125,0.4566802978515625,0.8938226885421825,643,0.14032942933556017
117,0.03368115425109863,0.05213165283203125,0.0777130126953125,0.09144197988992797,19,5.675063087883054e-05
118,0.07207894325256348,0.14620208740234375,0.15526580810546875,0.19199942397923753,75,0.001521320815139787
119,0.0351870059967041,0.04978179931640625,0.066802978515625,0.07305827948675248,20,0.0005709025447989413
120,0.04412126541137695,0.062957763671875,0.08119964599609375,0.09842445979743175,25,0.0017139630843558615
121,0.024999141693115234,0.037628173828125,0.08193206787109375,0.08876842914751215,20,0.0018594053670017397
122,0.055696964263916016,0.09746551513671875,0.1054840087890625,0.14942967096003823,45,0.0002570214471005678
123,0.09054303169250488,0.12369537353515625,0.116851806640625,0.1746594041423366,51,0.011654952296438896
124,0.1367659568786621,0.17935943603515625,0.150970458984375,0.2561234149451135,88,0.023877410513537103
125,0.045694828033447266,0.11737060546875,0.1116180419921875,0.14484039398569326,46,0.0028210840647951816
126,0.10256290435791016,0.1743927001953125,0.15308380126953125,0.22551528055066505,84,0.00952697599638627
127,0.11454010009765625,0.23686981201171875,0.2410125732421875,0.3128371742843541,112,0.005598749075898657
128,0.062438011169433594,0.035125732421875,0.08184814453125,0.09552117409976635,20,0.0009226654081283525
129,0.03415822982788086,0.06920623779296875,0.05950927734375,0.08599957470479946,14,0.0024980722036537202
130,0.07655882835388184,0.10359954833984375,0.1380157470703125,0.18592958062344778,47,0.0015125110349393268
131,0.11037015914916992,0.12945556640625,0.12580108642578125,0.1930175995438752,59,0.0007522601915346237
132,0.3045158386230469,0.818878173828125,0.6563339233398438,0.9229287431074709,1154,0.09381488476553812
133,0.13807201385498047,0.16193389892578125,0.18255615234375,0.2520696871702208,117,0.008570743738095377
134,0.1515347957611084,0.32330322265625,0.24442291259765625,0.373833742070917,310,0.0220082839963319
135,0.047447919845581055,0.0774078369140625,0.157745361328125,0.17759285279707915,54,0.005953870161726622
136,0.09737586975097656,0.69708251953125,0.27838134765625,0.7194257949971704,534,0.07567420343450906
137,0.08990192413330078,0.12158203125,0.165008544921875,0.20726433874581573,65,0.0005272410062605393
138,0.09610104560852051,0.17186737060546875,0.145721435546875,0.21228368591459867,94,0.004278015906373312
139,0.07167506217956543,0.1070098876953125,0.0743408203125,0.1500038812782707,40,0.0006749744166168656
140,0.0406801700592041,0.07525634765625,0.03739166259765625,0.07766030415752212,15,0.00016653753953402878
141,0.04357099533081055,0.07553863525390625,0.0892791748046875,0.11632536268064797,29,0.0018493592209091333
142,0.05158281326293945,0.075897216796875,0.0662384033203125,0.11265441029129897,27,0.0005680176187197423
143,0.11755800247192383,0.31691741943359375,0.207855224609375,0.3754343361889858,229,0.016048044683909028
144,0.06307792663574219,0.20119476318359375,0.1409912109375,0.2528075529967957,88,0.00047730618475047885
145,0.06038498878479004,0.1745147705078125,0.12109375,0.20824176819822848,79,0.005900791314852239
146,0.07747197151184082,0.25130462646484375,0.1224365234375,0.26416261363053767,122,0.01316279842594786
147,0.05097389221191406,0.06220245361328125,0.070709228515625,0.09752992059870724,22,2.8289503625654716e-05
148,0.14561009407043457,0.15682220458984375,0.2213592529296875,0.27591721579784956,141,0.010651578805567163
149,0.1171109676361084,0.157867431640625,0.1644439697265625,0.19991405170904808,104,0.010901060228872916
150,0.08927488327026367,0.11081695556640625,0.148529052734375,0.20714505814994766,66,0.0029808562338931163
151,0.028711795806884766,0.07733917236328125,0.0838165283203125,0.11905321599648566,34,0.0006389967222695072
152,0.0453181266784668,0.0654296875,0.05991363525390625,0.09050323639499425,20,0.0003818825796105248
153,0.06376791000366211,0.13516998291015625,0.13744354248046875,0.2032564357304405,57,0.005816557532370978
154,0.1129770278930664,0.29003143310546875,0.16357421875,0.30697912534069494,152,0.001946330947425927
155,0.12544608116149902,0.1114654541015625,0.1751251220703125,0.21010879800626814,71,0.0002825784552977304
156,0.07278084754943848,0.16278076171875,0.14763641357421875,0.21890166711017967,74,0.005825583112805182
157,0.05205106735229492,0.12451171875,0.123809814453125,0.1640714240702752,64,0.006063947621384339
158,0.12111282348632812,0.17771148681640625,0.166412353515625,0.2474658502421721,84,0.008059815708183099
159,0.039122819900512695,0.0695648193359375,0.06827545166015625,0.0882664862866489,20,0.0004317029364957073
160,0.07881999015808105,0.11360931396484375,0.09346771240234375,0.15315374192107667,42,0.0016026627855183358
161,0.09001994132995605,0.156219482421875,0.10372161865234375,0.19820874943872901,57,0.005239007353846592
162,0.1319890022277832,0.236907958984375,0.248931884765625,0.334788449924206,150,0.011482008695354415
163,0.039804935455322266,0.04766082763671875,0.08583831787109375,0.09522032271514203,24,3.564200109586576e-05
164,0.08459997177124023,0.09389495849609375,0.146514892578125,0.15566505629555483,62,0.001929125772109996
165,0.04291796684265137,0.0932159423828125,0.0755157470703125,0.12125185824324802,26,0.0010053519609585784
166,0.14952611923217773,0.208709716796875,0.165802001953125,0.2750933957357277,90,0.0062913969255648785
167,0.01836395263671875,0.08744049072265625,0.03908538818359375,0.09286813296283869,22,0.0026265134816719814
168,0.04920005798339844,0.07659149169921875,0.0556488037109375,0.09374010600421201,24,0.0016175069876993762
169,0.09772801399230957,0.0863800048828125,0.10233306884765625,0.15049242203543978,46,0.0010364394215510832
170,0.12471699714660645,0.533111572265625,0.13233184814453125,0.5452737173339584,237,0.021593691683965802
171,0.029129981994628906,0.14939117431640625,0.11095428466796875,0.17202692916914497,55,0.0033572425641011953
172,0.1316969394683838,0.1581573486328125,0.10697174072265625,0.20926740783313313,64,0.004001008678388922
173,0.06657600402832031,0.20473480224609375,0.0998077392578125,0.2181256011800186,79,0.00674465435378532
174,0.15718698501586914,0.2231903076171875,0.1510467529296875,0.2870563003965019,146,0.0065571101455928656
175,0.3533508777618408,0.6275634765625,0.5171051025390625,0.8913893327598255,962,0.1498390330686899
176,0.03389906883239746,0.08289337158203125,0.03850555419921875,0.08328310941867656,13,0.00013511011035221158
177,0.07679891586303711,0.2121124267578125,0.1433868408203125,0.23931636035280113,134,0.015850347968646254
178,0.041036128997802734,0.10113525390625,0.07015228271484375,0.11941311971554347,30,0.000825541870511661
179,0.27921199798583984,0.6084671020507812,0.33892822265625,0.7133995395053354,694,0.033800618919972464
180,0.028167009353637695,0.05301666259765625,0.06993865966796875,0.08300421704703398,18,0.00012695072471482073
181,0.1095120906829834,0.168243408203125,0.1286773681640625,0.2295319387478289,88,0.003695447670303561
182,0.14483308792114258,0.5872344970703125,0.16266632080078125,0.5941461052781332,302,0.02502226905103437
183,0.06427717208862305,0.07868194580078125,0.05194854736328125,0.10971845977021699,23,0.0009094811906625869
184,0.030977249145507812,0.07468414306640625,0.07208251953125,0.09718445953358357,22,1.7445417416815315e-05
185,0.16180706024169922,0.17568206787109375,0.1682586669921875,0.24623222802634537,97,0.014854675382682874
186,0.03305315971374512,0.0716094970703125,0.09014129638671875,0.11339547523761917,35,0.002144038942060407
187,0.13463211059570312,0.140167236328125,0.197967529296875,0.22226582785961124,112,0.00754857173113209
188,0.09695291519165039,0.18616485595703125,0.12914276123046875,0.22569437228304423,80,0.0012529382201044831
